2-1#31-MBX032-W4-CO-1 iDrac	n5548-c0106-mgmt-1-FEX183-mgmt p24
2-1#30-MBX032-W4-CO-3 iDrac	n5548-c0106-mgmt-1-FEX183-mgmt p26
2-1#29-MBX032-W4-CO-5 iDrac	n5548-c0106-mgmt-1-FEX183-mgmt p28
2-2#31-MBX032-W4-CO-2 iDrac	n5548-c0106-mgmt-2-FEX184-mgmt p24
2-2#30-MBX032-W4-CO-4 iDrac	n5548-c0106-mgmt-2-FEX184-mgmt p26
2-2#29-MBX032-W4-CO-6 iDrac	n5548-c0106-mgmt-2-FEX184-mgmt p28	 
2-4#35-MBX032-W3-CO-2 iDrac	n5548-c0106-mgmt-2-FEX186-mgmt p18
2-4#34-MBX032-W3-CO-4 iDrac	n5548-c0106-mgmt-2-FEX186-mgmt p20
2-4#33-MBX032-W3-CO-6 iDrac	n5548-c0106-mgmt-2-FEX186-mgmt p22
2-4#31-MBX032-W5-CO-2 iDrac	n5548-c0106-mgmt-2-FEX186-mgmt p24
2-4#30-MBX032-W5-CO-4 iDrac	n5548-c0106-mgmt-2-FEX186-mgmt p26	 
2-5#35-MBX032-W3-CO-1 iDrac	n5548-c0106-mgmt-1-FEX187-mgmt p18
2-5#34-MBX032-W3-CO-3 iDrac	n5548-c0106-mgmt-1-FEX187-mgmt p20
2-5#33-MBX032-W3-CO-5 iDrac	n5548-c0106-mgmt-1-FEX187-mgmt p22
2-5#31-MBX032-W5-CO-1 iDrac	n5548-c0106-mgmt-1-FEX187-mgmt p24
2-5#30-MBX032-W5-CO-3 iDrac	n5548-c0106-mgmt-1-FEX187-mgmt p26
2-1#43-MBX070-W1-CO-1 iDrac	n5548-c0106-mgmt-1-FEX183-mgmt p2
2-1#42-MBX070-W1-CO-3 iDrac	n5548-c0106-mgmt-1-FEX183-mgmt p4
2-1#41-MBX070-W1-CO-5 iDrac	n5548-c0106-mgmt-1-FEX183-mgmt p6	 
2-2#43-MBX070-W1-CO-2 iDrac	n5548-c0106-mgmt-2-FEX184-mgmt p2
2-2#42-MBX070-W1-CO-4 iDrac	n5548-c0106-mgmt-2-FEX184-mgmt p4
2-2#41-MBX070-W1-CO-6 iDrac	n5548-c0106-mgmt-2-FEX184-mgmt p6
